Sr,Intake,Season,Year,Country,FinalUniversity,Degree,Major
1019,Fall 2021,Fall,2021,USA,"California State University, East Bay",Master of Science,Computer Science
1020,Fall 2021,Fall,2021,USA,Fordham University,Master of Science,Marketing
1021,Fall 2021,Fall,2021,USA,"University of Texas, Arlington",Master of Science,Mechanical Engineering
1022,Fall 2021,Fall,2021,USA,Long Island University Brooklyn,Master of Science,Drug Regulatory Affairs
1023,Fall 2021,Fall,2021,USA,"State University of New York, Stony Brook",Master of Science,Computer Science
1024,Fall 2021,Fall,2021,USA,Stevens Institute of Technology,Master of Science,Management Information Systems
1025,Fall 2021,Fall,2021,USA,"University of Maryland, College Park",Master of Science,Information System
1026,Fall 2021,Fall,2021,USA,"California State University, Northridge",Master of Science,Computer Science
1027,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Software Engineering
1028,Fall 2021,Fall,2021,USA,Stevens Institute of Technology,Master of Science,Computer Science
1029,Fall 2021,Fall,2021,USA,New York Institute of Technology,Master of Science,Computer Science
1030,Fall 2021,Fall,2021,USA,University of North Carolina Charlotte,Master of Science,Information Technology
1031,Fall 2021,Fall,2021,USA,San José State University,Master of Science,Software Engineering
1032,Fall 2021,Fall,2021,USA,University of Illinois at Chicago,Master of Science,Medical Biotechnology
1033,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Project Management
1034,Fall 2021,Fall,2021,USA,University of Texas at Dallas,Master of Science,Management Sciences
1035,Fall 2021,Fall,2021,USA,University of Scranton,Masters,Healthcare Administration
1036,Fall 2021,Fall,2021,USA,"University of Texas, Arlington",Master of Science,Computer Science
1037,Fall 2021,Fall,2021,USA,Parsons School of Design,Master of Science,Design
1038,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Industrial Engineering
1039,Fall 2021,Fall,2021,USA,University of Sciences in Philadelphia,Bachelor of Science,Biomedical
1040,Fall 2021,Fall,2021,USA,Rice University,Master of Science,Computer Science
1041,Fall 2021,Fall,2021,USA,Syracuse University,Master of Science,Information System
1042,Fall 2021,Fall,2021,USA,Clemson University,Master of Science,Industrial Engineering
1043,Fall 2021,Fall,2021,USA,"University of Texas, Arlington",Master of Science,Electrical Engineering
1044,Fall 2021,Fall,2021,USA,Rochester Institute of Technology,Master of Science,Computer Science
1045,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Project Management
1046,Fall 2021,Fall,2021,USA,University of Texas at Dallas,Master of Science,Computer Science
1047,Fall 2021,Fall,2021,USA,Long Island University Brooklyn,Master of Science,Exercise Physiology
1048,Fall 2021,Fall,2021,USA,"California State University, Long Beach",Master of Science,Computer Science
1049,Fall 2021,Fall,2021,USA,"University of Texas, Arlington",Master of Science,Industrial Engineering
1050,Fall 2021,Fall,2021,USA,University of Texas at Austin,Master of Science,Computer Science
1051,Fall 2021,Fall,2021,USA,Boston University,Masters,Public Health
1052,Fall 2021,Fall,2021,USA,Arizona State University,Masters,Information System
1053,Fall 2021,Fall,2021,USA,Indiana University-Bloomington,Master of Science,Data Science
1054,Fall 2021,Fall,2021,USA,North Carolina State University,Master of Science,Computer Science
1055,Fall 2021,Fall,2021,USA,University of North Carolina Charlotte,Master of Science,Computer Science
1056,Fall 2021,Fall,2021,USA,University of Florida,Master of Science,Computer Science
1057,Fall 2021,Fall,2021,USA,"University of Texas, Arlington",Master of Science,Computer Science
1058,Fall 2021,Fall,2021,USA,University of California San Diago,Master of Science,Structural Engineering
1059,Fall 2021,Fall,2021,USA,Indiana University-Bloomington,Master of Science,Computer Science
1060,Fall 2021,Fall,2021,USA,University of Southern California,Master of Science,Electrical Engineering
1061,Fall 2021,Fall,2021,USA,Indiana University-Bloomington,Bachelors,Management
1062,Fall 2021,Fall,2021,USA,Rochester Institute of Technology,Master of Science,Human Computer Interaction
1063,Fall 2021,Fall,2021,USA,San Diego State University,Master of Science,Big Data Analytics
1064,Fall 2021,Fall,2021,USA,State University of New York Buffalo,Master of Science,Computer Science
1065,Fall 2021,Fall,2021,USA,Arizona State University,Masters,Computer Science
1066,Fall 2021,Fall,2021,USA,"University of Maryland, College Park",Master of Science,Robotics
1067,Fall 2021,Fall,2021,USA,University of Minnesota Twin Cities,Master of Science,Pharmaceutical Science
1068,Fall 2021,Fall,2021,USA,Stevens Institute of Technology,Master of Science,Computer Science
1069,Fall 2021,Fall,2021,USA,Columbia University,Master of Science,Industrial Engineering
1070,Fall 2021,Fall,2021,USA,"University of Maryland, College Park",Master of Engineering,Cyber Security
1071,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Data Science
1072,Fall 2021,Fall,2021,USA,Bentley College,Master of Science,Finance
1073,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Biotechnology
1074,Fall 2021,Fall,2021,USA,"University of Texas, Arlington",Master of Science,Electrical Engineering
1075,Fall 2021,Fall,2021,USA,"California State University, Fullerton",Master of Science,Computer Science
1076,Fall 2021,Fall,2021,USA,University of Texas at Dallas,Master of Science,Biology
1077,Fall 2021,Fall,2021,USA,University of Massachusetts Lowell,Master of Science,Computer Science
1078,Fall 2021,Fall,2021,USA,"State University of New York, Albany",Master of Science,Cyber Security
1079,Fall 2021,Fall,2021,USA,"University of Maryland, College Park",Master of Science,Cyber Security
1080,Fall 2021,Fall,2021,USA,Rutgers University,Master of Science,Computer Science
1081,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Biotechnology
1082,Fall 2021,Fall,2021,USA,Florida Institute of Technology,Master of Science,Systems Engineering
1083,Fall 2021,Fall,2021,USA,Stevens Institute of Technology,Master of Science,Construction Management
1084,Fall 2021,Fall,2021,USA,Massachuetts College of Pharmacy & Health Sciences,Master of Science,Pharmaceutical Science
1085,Fall 2021,Fall,2021,USA,Massachuetts College of Pharmacy & Health Sciences,Master of Science,Pharmaceutical Science
1086,Fall 2021,Fall,2021,USA,San José State University,Master of Science,Electrical Engineering
1087,Fall 2021,Fall,2021,USA,Long Island University Brooklyn,Master of Science,Pharmacology and Toxicology
1088,Fall 2021,Fall,2021,USA,Pace University,Master of Science,Marketing
1089,Fall 2021,Fall,2021,USA,University of California Irvine,Bachelor of Engineering,Computer Engineering
1090,Fall 2021,Fall,2021,USA,University of California Irvine,Bachelor of Engineering,Computer Engineering
1091,Fall 2021,Fall,2021,USA,Wayne State University,Master of Science,Electrical Engineering
1092,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Engineering Management
1093,Fall 2021,Fall,2021,USA,"University of Houston, Clear Lake",Master of Science,Exercise Science
1094,Fall 2021,Fall,2021,USA,Stevens Institute of Technology,Master of Science,Computer Science
1095,Fall 2021,Fall,2021,USA,Purdue University,Master of Science,Computer Graphics
1096,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Biochemistry
1097,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Analytics
1098,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Software Engineering
1099,Fall 2021,Fall,2021,USA,San José State University,Master of Science,Computer Engineering
1100,Fall 2021,Fall,2021,USA,Suffolk University,Masters,Interior Architecture
1101,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Software Engineering
1102,Fall 2021,Fall,2021,USA,"University of Texas, Arlington",Master of Science,Computer Science
1103,Fall 2021,Fall,2021,USA,University of New Haven,Masters,Public Health
1104,Fall 2021,Fall,2021,USA,University of Wisconsin Medison,Bachelor of Science,Computer Science
1105,Fall 2021,Fall,2021,USA,"California State University, Long Beach",Master of Science,Information System
1106,Fall 2021,Fall,2021,USA,New York Institute of Technology,Master of Science,Computer Science
1107,Fall 2021,Fall,2021,USA,Long Island University Brooklyn,Master of Science,Pharmaceutical Science
1108,Fall 2021,Fall,2021,USA,California Baptist University,Masters,Public Health
1109,Fall 2021,Fall,2021,USA,Florida International University,Master of Science,Computer Science
1110,Fall 2021,Fall,2021,USA,University of North Carolina Charlotte,Master of Science,Computer Science
1111,Fall 2021,Fall,2021,USA,Arizona State University,Masters,Computer Science
1112,Fall 2021,Fall,2021,USA,University of Southern California,Master of Science,Engineering Management
1113,Fall 2021,Fall,2021,USA,Illinois Institute of Technology,Master of Science,Computer Science
1114,Fall 2021,Fall,2021,USA,"University of California, Davis",Bachelor of Science,Biological Science
1115,Fall 2021,Fall,2021,USA,"University of Texas, Arlington",Master of Science,Management Information Systems
1116,Fall 2021,Fall,2021,USA,"University of Texas, Arlington",Master of Science,Information System
1117,Fall 2021,Fall,2021,USA,Mount Sinai School of Medicine,Masters,Public Health
1118,Fall 2021,Fall,2021,USA,Carnegie Mellon University,Master of Science,Biomedical Engineering
1119,Fall 2021,Fall,2021,USA,North Carolina State University,Master of Science,Industrial Engineering
1120,Fall 2021,Fall,2021,USA,University of Illinois at Urbana–Champaign,Bachelor of Science,Chemical Engineering
1121,Fall 2021,Fall,2021,USA,"University of Texas, Arlington",Master of Science,Computer Science
1122,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Electrical Engineering
1123,Fall 2021,Fall,2021,USA,"University of Houston, Clear Lake",Master of Science,Computer Science
1124,Fall 2021,Fall,2021,USA,"University of Houston, Clear Lake",Master of Science,Exercise Physiology
1125,Fall 2021,Fall,2021,USA,Stevens Institute of Technology,Master of Science,Computer Science
1126,Fall 2021,Fall,2021,USA,Stevens Institute of Technology,Master of Science,Computer Engineering
1127,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Drug Regulatory Affairs
1128,Fall 2021,Fall,2021,USA,Drexel University,Masters,Public Health
1129,Fall 2021,Fall,2021,USA,Northeastern University,Masters,Business Administration
1130,Fall 2021,Fall,2021,USA,New York University,Master of Science,Management of Technology
1131,Fall 2021,Fall,2021,USA,Rutgers University,MBA,Food Science
1132,Fall 2021,Fall,2021,USA,San José State University,Master of Science,Engineering Management
1133,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Information Technology
1134,Fall 2021,Fall,2021,USA,University of North Texas Health Science Centre,Masters,Public Health
1135,Fall 2021,Fall,2021,USA,North Carolina State University,Master of Science,Aerospace Engineering
1136,Fall 2021,Fall,2021,USA,New York University,Master of Science,Computer Science
1137,Fall 2021,Fall,2021,USA,University of Texas at Austin,Master of Science,Marketing
1138,Fall 2021,Fall,2021,USA,University of Texas at Dallas,Master of Science,Information Technology Management
1139,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Data Analytics
1140,Fall 2021,Fall,2021,USA,"Texas A&M University, Kingsville",Master of Science,Industrial Management
1141,Fall 2021,Fall,2021,USA,Stevens Institute of Technology,Master of Science,Computer Science
1142,Fall 2021,Fall,2021,USA,California Baptist University,Masters,Business Administration
1143,Fall 2021,Fall,2021,USA,"University of California, Berkeley",Bachelor of Science,Biological Science
1144,Fall 2021,Fall,2021,USA,University of Massachusetts Lowell,Master of Science,Computer Science
1145,Fall 2021,Fall,2021,USA,State University of New York Buffalo,Master of Science,Computer Science
1146,Fall 2021,Fall,2021,USA,Arizona State University,Masters,Computer Science
1147,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Computer Science
1148,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Drug Regulatory Affairs
1149,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Computer Science
1150,Fall 2021,Fall,2021,USA,"Texas A&M University, College Station",Master of Science,Management Information Systems
1151,Fall 2021,Fall,2021,USA,"Texas A&M University, College Station",Master of Science,Construction Management
1152,Fall 2021,Fall,2021,USA,Florida Institute of Technology,Master of Science,Information Technology
1153,Fall 2021,Fall,2021,USA,Stevens Institute of Technology,Master of Science,Computer Science
1154,Fall 2021,Fall,2021,USA,San José State University,Master of Science,Software Engineering
1155,Fall 2021,Fall,2021,USA,University of Texas at Dallas,Master of Science,Computer Science
1156,Fall 2021,Fall,2021,USA,San José State University,Master of Science,Software Engineering
1157,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Computer Science
1158,Fall 2021,Fall,2021,USA,University of Texas at Austin,Master of Science,Marketing
1159,Fall 2021,Fall,2021,USA,Rochester Institute of Technology,Master of Science,Computer Science
1160,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Computer Science
1161,Fall 2021,Fall,2021,USA,"University of Maryland, College Park",Master of Science,Information System
1162,Fall 2021,Fall,2021,USA,University of Wisconsin Milwaukee,Master of Science,Computer Science
1163,Fall 2021,Fall,2021,USA,University of New Haven,Masters,Public Health
1164,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Computer Science
1165,Fall 2021,Fall,2021,USA,New York University,Master of Science,Computer Science
1166,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Computer Science
1167,Fall 2021,Fall,2021,USA,North Carolina State University,Master of Science,Industrial Engineering
1168,Fall 2021,Fall,2021,USA,George Mason University,Master of Science,Data Analytics
1169,Fall 2021,Fall,2021,USA,Carnegie Mellon University,Masters,Architecture
1170,Fall 2021,Fall,2021,USA,Stevens Institute of Technology,Master of Science,Computer Science
1171,Fall 2021,Fall,2021,USA,North Carolina State University,Master of Science,Industrial Engineering
1172,Fall 2021,Fall,2021,USA,University of Iowa,Master of Science,Public Health
1173,Fall 2021,Fall,2021,USA,University of Illinois at Springfield,Masters,Public Health
1174,Fall 2021,Fall,2021,USA,Loyola Marymount University,Master of Science,Computer Science
1175,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Computer Science
1176,Fall 2021,Fall,2021,USA,University of Colorado Boulder,Master of Science,Electrical Engineering
1177,Fall 2021,Fall,2021,USA,"University of Maryland, College Park",Master of Science,Information System
1178,Fall 2021,Fall,2021,USA,Pennsylvania State University System,Masters,Business Administration
1179,Fall 2021,Fall,2021,USA,University of Georgia,Master of Science,Computer Science
1180,Fall 2021,Fall,2021,USA,University of Wisconsin Milwaukee,Master of Science,Computer Science
1181,Fall 2021,Fall,2021,USA,San José State University,Master of Science,Software Engineering
1182,Fall 2021,Fall,2021,USA,Arizona State University,Masters,Computer Science
1183,Fall 2021,Fall,2021,USA,Arizona State University,Masters,Computer Science
1184,Fall 2021,Fall,2021,USA,University of North Carolina Charlotte,Master of Science,Computer Science
1185,Fall 2021,Fall,2021,USA,University of North Carolina Charlotte,Master of Science,Information Technology
1186,Fall 2021,Fall,2021,USA,University of Texas at Dallas,Master of Science,Information Technology
1187,Fall 2021,Fall,2021,USA,Stevens Institute of Technology,Master of Science,Management Information Systems
1188,Fall 2021,Fall,2021,USA,New York Institute of Technology,Masters,Business Administration
1189,Fall 2021,Fall,2021,USA,University of Texas at Dallas,Master of Science,Information Technology Management
1190,Fall 2021,Fall,2021,USA,University of Texas at Dallas,Master of Science,Computer Science
1191,Fall 2021,Fall,2021,USA,University of Texas at Dallas,Master of Science,Computer Science
1192,Fall 2021,Fall,2021,USA,University of Texas at Dallas,Master of Science,Computer Science
1193,Fall 2021,Fall,2021,USA,Bentley College,Masters,Business Analytics
1194,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Drug Regulatory Affairs
1195,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Information System
1196,Fall 2021,Fall,2021,USA,University of Texas at Dallas,Master of Science,Management Information Systems
1197,Fall 2021,Fall,2021,USA,New School University,Master of Science,Psychology
1198,Fall 2021,Fall,2021,USA,Arizona State University,Masters,Computer Science
1199,Fall 2021,Fall,2021,USA,New York Institute of Technology,Masters,Architecture
1200,Fall 2021,Fall,2021,USA,Stevens Institute of Technology,Master of Science,Pharmacy
1201,Fall 2021,Fall,2021,USA,Arizona State University,Bachelor of Science,Healthcare
1202,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Industrial Engineering
1203,Fall 2021,Fall,2021,USA,University of California Irvine,Bachelors,No Major
1204,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Data Science
1205,Fall 2021,Fall,2021,USA,Babson College,Masters,Business Administration
1206,Fall 2021,Fall,2021,USA,"University of Maryland, College Park",Master of Science,Information System
1207,Fall 2021,Fall,2021,USA,"California State University, Long Beach",Master of Science,Electrical & Electronics Engineering
1208,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Drug Regulatory Affairs
1209,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Management Information Systems
1210,Fall 2021,Fall,2021,USA,Rutgers University,Master of Engineering,Industrial Engineering
1211,Fall 2021,Fall,2021,USA,University of Texas at Dallas,Master of Science,Computer Science
1212,Fall 2021,Fall,2021,USA,"Texas A&M University, College Station",Master of Science,Management Information Systems
1213,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Data Analytics
1214,Fall 2021,Fall,2021,USA,"California State University, East Bay",Master of Science,Business Analytics
1215,Fall 2021,Fall,2021,USA,University of Texas at Dallas,Master of Science,Computer Science
1216,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Drug Regulatory Affairs
1217,Fall 2021,Fall,2021,USA,Rutgers University,Master of Science,Computer Science
1218,Fall 2021,Fall,2021,USA,Long Island University Brooklyn,Master of Science,Exercise Science
1219,Fall 2021,Fall,2021,USA,Virginia Polytechnic Institute and State University,Master of Science,Industrial Engineering
1220,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Computer Science
1221,Fall 2021,Fall,2021,USA,"Texas A&M University, College Station",Master of Science,Construction Management
1222,Fall 2021,Fall,2021,USA,University of New Haven,Masters,Public Health
1223,Fall 2021,Fall,2021,USA,Long Island University Brooklyn,Master of Science,Exercise Science
1224,Fall 2021,Fall,2021,USA,Rice University,Master of Science,Computer Science
1225,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Drug Regulatory Affairs
1226,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Data Analytics
1227,Fall 2021,Fall,2021,USA,North Carolina State University,Master of Science,Engineering Management
1228,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Robotics
1229,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Computer Engineering
1230,Fall 2021,Fall,2021,USA,San José State University,Master of Science,Software Engineering
1231,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Software Engineering
1232,Fall 2021,Fall,2021,USA,"University of Texas, Arlington",Master of Science,Industrial Engineering
1233,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Computer Engineering
1234,Fall 2021,Fall,2021,USA,California State University San Marcos,Master of Science,Computer Science
1235,Fall 2021,Fall,2021,USA,Illinois Institute of Technology,Master of Science,Marketing
1236,Fall 2021,Fall,2021,USA,"University of Texas, Arlington",Master of Science,Electrical Engineering
1237,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Architecture
1238,Fall 2021,Fall,2021,USA,University of New Haven,Master of Science,Business Analytics
1239,Fall 2021,Fall,2021,USA,Stevens Institute of Technology,Master of Science,Computer Science
1240,Fall 2021,Fall,2021,USA,Fairleigh Dickinson University,Bachelors,Business Administration
1241,Fall 2021,Fall,2021,USA,"University of Texas, Arlington",Master of Science,Computer Science
1242,Fall 2021,Fall,2021,USA,University of North Texas,Master of Science,Kinesiology
1243,Fall 2021,Fall,2021,USA,Long Island University Brooklyn,Master of Science,Exercise Science
1244,Fall 2021,Fall,2021,USA,"California State University, Los Angeles",Master of Science,Computer Science
1245,Fall 2021,Fall,2021,USA,Stevens Institute of Technology,Master of Science,Finance
1246,Fall 2021,Fall,2021,USA,Fairleigh Dickinson University,Master of Science,Information System
1247,Fall 2021,Fall,2021,USA,"Texas A&M University, College Station",Master of Science,Biotechnology
1248,Fall 2021,Fall,2021,USA,"University of Houston, Clear Lake",Master of Science,Exercise Physiology
1249,Fall 2021,Fall,2021,USA,Long Island University Brooklyn,Masters,Public Health
1250,Fall 2021,Fall,2021,USA,Seattle University,Master of Science,Computer Science
1251,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Cyber Security
1252,Fall 2021,Fall,2021,USA,Virginia Polytechnic Institute and State University,Master of Science,Computer Science
1253,Fall 2021,Fall,2021,USA,Loyola Marymount University,Master of Science,Mechanical Engineering
1254,Fall 2021,Fall,2021,USA,"California State University, Los Angeles",Master of Science,Computer Science
1255,Fall 2021,Fall,2021,USA,North Carolina State University,Masters,Architecture
1256,Fall 2021,Fall,2021,USA,University of Illinois at Chicago,Master of Science,Supply Chain Management
1257,Fall 2021,Fall,2021,USA,Purdue University,Master of Science,Industrial Engineering
1258,Fall 2021,Fall,2021,USA,Stevens Institute of Technology,Master of Science,Mechanical Engineering
1259,Fall 2021,Fall,2021,USA,University of Maryland Baltimore County,Master of Science,Computer Science
1260,Fall 2021,Fall,2021,USA,"California State University, Los Angeles",Master of Science,Computer Science
1261,Fall 2021,Fall,2021,USA,California State University San Marcos,Masters,Public Health
1262,Fall 2021,Fall,2021,USA,Seattle University,Master of Science,Computer Science
1263,Fall 2021,Fall,2021,USA,University of North Carolina Charlotte,Masters,Business Administration
1264,Fall 2021,Fall,2021,USA,University of South Carolina System,Masters,Public Health
1265,Fall 2021,Fall,2021,USA,"Texas A&M University, College Station",Master of Science,Construction Management
1266,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Information Technology
1267,Fall 2021,Fall,2021,USA,San José State University,Master of Science,Computer Science
1268,Fall 2021,Fall,2021,USA,Arizona State University,Bachelor of Science,Computer Science
1269,Fall 2021,Fall,2021,USA,"University of Texas, Arlington",Master of Science,Computer Science
1270,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Drug Regulatory Affairs
1271,Fall 2021,Fall,2021,USA,Stevens Institute of Technology,Masters,Business Administration
1272,Fall 2021,Fall,2021,USA,"State University of New York, Albany",Bachelor of Science,Computer Science
1273,Fall 2021,Fall,2021,USA,University of Texas at Dallas,Master of Science,Computer Science
1274,Fall 2021,Fall,2021,USA,Montclair State University,Master of Science,Environmental Science & Engineering
1275,Fall 2021,Fall,2021,USA,University of South Carolina System,Master of Science,Computer Science
1276,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Information Technology
1277,Fall 2021,Fall,2021,USA,Long Island University Brooklyn,Master of Science,Drug Regulatory Affairs
1278,Fall 2021,Fall,2021,USA,New York University,Master of Science,Industrial Engineering
1279,Fall 2021,Fall,2021,USA,San José State University,Master of Science,Computer Science
1280,Fall 2021,Fall,2021,USA,DePaul University,Masters,Business Administration
1281,Fall 2021,Fall,2021,USA,Northeastern University,Master of Science,Biotechnology
1282,Fall 2021,Fall,2021,USA,"University of Texas, Arlington",Master of Science,Construction Management
1283,Fall 2021,Fall,2021,USA,University of Texas at Dallas,Master of Science,Computer Science
1284,Fall 2021,Fall,2021,USA,Pace University,Master of Science,Computer Science
1285,Fall 2021,Fall,2021,USA,University of Texas at Dallas,Master of Science,Supply Chain Management
1286,Fall 2021,Fall,2021,USA,Florida International University,Master of Science,Engineering Management
1287,Fall 2021,Fall,2021,USA,University of Cincinnati,Master of Engineering,Mechanical Engineering
1288,Fall 2021,Fall,2021,USA,"California State University, Northridge",Master of Science,Manufacturing Engineering
1289,Fall 2021,Fall,2021,USA,California Baptist University,Master of Science,Management
1290,Fall 2021,Fall,2021,USA,DePaul University,Master of Science,Computer Science
1291,Fall 2021,Fall,2021,USA,University of Illinois at Urbana–Champaign,Bachelor of Science,Information System
1292,Fall 2021,Fall,2021,USA,New Jersey Institute of Technology,Master of Science,Data Science
1293,Fall 2021,Fall,2021,USA,"California State University, San Bernadino",Masters,Public Health
1294,Fall 2021,Fall,2021,USA,Long Island University Brooklyn,Master of Science,Exercise Science
1295,Fall 2021,Fall,2021,USA,Arizona State University,Master of Science,Industrial Engineering
1296,Fall 2021,Fall,2021,USA,Carnegie Mellon University,Master of Science,Chemical Engineering
1297,Fall 2021,Fall,2021,USA,University of Massachusetts Dartmouth,Master of Science,Computer Science
1298,Fall 2021,Fall,2021,USA,Thomas Jefferson University,Bachelor of Science,Pharmacy
1299,Fall 2021,Fall,2021,USA,Cleveland State University,Master of Science,Information Science
1300,Fall 2021,Fall,2021,USA,California State University San Marcos,Master of Science,Computer Science
1301,Fall 2021,Fall,2021,USA,New York Institute of Technology,Masters,Architecture
1302,Fall 2021,Fall,2021,USA,Stevens Institute of Technology,Master of Science,Computer Engineering
1303,Fall 2021,Fall,2021,USA,Florida State University,Master of Science,Data Science
1304,Fall 2021,Fall,2021,USA,Virginia Polytechnic Institute and State University,Master of Science,Computer Science
1305,Fall 2021,Fall,2021,USA,University of New Haven,Masters,Public Health
1306,Fall 2021,Fall,2021,USA,Illinois Institute of Technology,Master of Science,Management Information Systems
1307,Fall 2021,Fall,2021,USA,Stevens Institute of Technology,Master of Science,Construction Management
1308,Fall 2021,Fall,2021,USA,University of Texas at Dallas,Master of Science,Finance
1309,Fall 2021,Fall,2021,USA,University of Texas at Dallas,Master of Science,Computer Science
1310,Fall 2021,Fall,2021,USA,New Jersey Institute of Technology,Master of Science,Computer Science
1311,Fall 2021,Fall,2021,USA,Illinois Institute of Technology,Master of Science,Computer Science
1312,Fall 2021,Fall,2021,Canada,Simon Fraser University,MS,Computing Science-Big Data
1313,Fall 2021,Fall,2021,Canada,Sheriden College,Diploma,Computer Programming
1314,Fall 2021,Fall,2021,Canada,Seneca College,Advanced Diploma,Computer Engineering Technology
1315,Fall 2021,Fall,2021,Canada,University of Windsor,ME,Electrical and Computer Engineering
1316,Fall 2021,Fall,2021,Canada,Trinity Western University,MA,"Leadership, Health Care"
1317,Fall 2021,Fall,2021,Canada,Dalhousie University,ME,Internetworking
1318,Fall 2021,Fall,2021,Canada,University of Calgary,ME,Electrical and Computer Engineering
1319,Fall 2021,Fall,2021,Canada,Dalhousie University,ME,Internetworking
1320,Fall 2021,Fall,2021,Canada,Dalhousie University,ME,Internetworking
1321,Fall 2021,Fall,2021,Canada,Northeastern University-Toronto,MS,Project Management
1322,Fall 2021,Fall,2021,Canada,Conestoga College,Diploma,Nutrition and Food Service Management
1323,Fall 2021,Fall,2021,Canada,Trinity Western University,MA,"Leadership, Health Care"
1324,Fall 2021,Fall,2021,Canada,Mohawk College,Diploma,"Health, Wellness and Fitness"
1325,Fall 2021,Fall,2021,Canada,Dalhousie University,Bachelor,Computer Science
1326,Fall 2021,Fall,2021,Canada,Brock University,Master,Business Administration (ISP)
1327,Fall 2021,Fall,2021,Canada,St. Clair College ,PG,International Business Management - Logistics System
1328,Fall 2021,Fall,2021,Canada,Northeastern University-Toronto,MS,Project Management
1329,Fall 2021,Fall,2021,Canada,Dalhousie University,ME,Internetworking
1330,Fall 2021,Fall,2021,Canada,Northeastern University-Toronto,MS,Project Management
1331,Fall 2021,Fall,2021,Canada,Seneca College,PG,Financial Planning
1332,Fall 2021,Fall,2021,Canada,Concoria University,Master,Applied Computer Science
1333,Fall 2021,Fall,2021,Canada,Northeastern University-Toronto,MS,Project Management
1334,Fall 2021,Fall,2021,Canada,University of Windsor,Master,Applied Computing
1335,Fall 2021,Fall,2021,Canada,University of Windsor,Bachelor,Environmental Studies
1336,Fall 2021,Fall,2021,Canada,University of Windsor,Master,Applied Computing
1337,Fall 2021,Fall,2021,Canada,Trent University,MS,Big Data Analytics
1338,Fall 2021,Fall,2021,Canada,Simon Fraser University,MS,Computing Science-Big Data
1339,Fall 2021,Fall,2021,Canada,Mohawk College,PG,Project Management & Cyber Security Analytics
1340,Fall 2021,Fall,2021,Canada,Northeastern University-Toronto,MS,Project Management
1341,Fall 2021,Fall,2021,Canada,Lakehead University,MS,Computer Science
1342,Fall 2021,Fall,2021,Canada,Conestoga College,PG,Health Care Administration and Service Management
1343,Fall 2021,Fall,2021,Canada,McMaster University,ME,Systems and Technology
1344,Fall 2021,Fall,2021,Canada,Conestoga College,PG,Applied Network Infrastructure and System Administration
1345,Fall 2021,Fall,2021,Canada,Dalhousie University,MS,Computer Science
1346,Fall 2021,Fall,2021,Canada,Concoria University,Master,Applied Computer Science
1347,Fall 2021,Fall,2021,Canada,Dalhousie University,BS,Computer Science
1348,Fall 2021,Fall,2021,Canada,Northeastern University-Toronto,MPS,Analytics
